Time	P(9,3)	P'(3,9)	P(4,4)	P'(4,4)	Pwf(9,3)	Pwf'(3,9)	Qw(4,4)	Qw'(4,4)	Np	Np'
1	7641.23	7641.00	7012.8	7012.00	7505.33	7505.00	18921.7	1.93E+04	19571.7	2.00E+04
2	7559.01	7558.00	6771.14	6771.00	7423.6	7423.00	16009.89	1.61E+04	36231.59	3.67E+04
3	7462.67	7461.00	6615.36	6615.00	7327.63	7326.00	13961.21	1.40E+04	50842.8	5.14E+04
4	7354.77	7353.00	6494.22	6494.00	7220.12	7218.00	12341.84	1.24E+04	63834.64	6.44E+04
5	7240.56	7238.00	6394.68	6394.00	7106.27	7104.00	10999.98	1.10E+04	75484.62	7.61E+04
6	7124.24	7122.00	6310.95	6310.00	6990.33	6988.00	9857.81	9.87E+03	85992.44	8.66E+04
7	7008.78	7006.00	6239.15	6239.00	6875.25	6873.00	8875.14	8.88E+03	95517.58	9.61E+04
8	6896.21	6893.00	6176.79	6176.00	6763.08	6760.00	8019.17	8.02E+03	104186.75	1.05E+05
9	6787.88	6785.00	6122.03	6121.00	6655.1	6652.00	7265.69	7.27E+03	112102.44	1.13E+05
10	6684.61	6681.00	6073.48	6073.00	6552.18	6549.00	6596.29	6.59E+03	119248.73	1.20E+05
11	6586.88	6584.00	6030.11	6030.00	6454.77	6452.00	5997.06	5.99E+03	125995.78	1.27E+05
12	6494.89	6492.00	5991.09	5991.00	6363.1	6360.00	5457.13	5.45E+03	132102.91	1.33E+05
13	6408.69	6406.00	5955.79	5955.00	6277.19	6274.00	4968.12	4.96E+03	137721.03	1.38E+05
14	6328.15	6325.00	5923.73	5923.00	6196.85	6194.00	4523.4	4.52E+03	142894.44	1.44E+05
15	6253.09	6250.00	5894.49	5894.00	6121.97	6119.00	4117.43	4.11E+03	147661.88	1.48E+05
16	6183.28	6180.00	5867.77	5867.00	6052.33	6050.00	3745.82	3.74E+03	152057.7	1.53E+05
17	6118.46	6116.00	5843.27	5843.00	5987.66	5985.00	3404.93	3.40E+03	156112.64	1.57E+05
18	6058.33	6056.00	5820.79	5820.00	5927.68	5925.00	3091.69	3.09E+03	159854.33	1.60E+05
19	6002.61	6000.00	5800.12	5800.00	5872.1	5870.00	2803.47	2.80E+03	163307.8	1.64E+05
20	5951.02	5949.00	5781.1	5781.00	5820.63	5818.00	2538.03	2.53E+03	166495.83	1.67E+05
21	5903.27	5901.00	5763.58	5763.00	5773.01	5771.00	2293.35	2.29E+03	169439.17	1.70E+05
22	5859.11	5857.00	5747.44	5747.00	5728.97	5727.00	2067.68	2.06E+03	172156.86	1.73E+05
23	5818.28	5816.00	5732.55	5732.00	5688.25	5686.00	1859.47	1.85E+03	174666.33	1.75E+05
24	5780.53	5779.00	5718.81	5718.00	5650.6	5649.00	1667.28	1.66E+03	176983.61	1.78E+05
25	5745.65	5744.00	5706.14	5706.00	5615.82	5614.00	1489.85	1.48E+03	179123.47	1.80E+05
26	5713.42	5712.00	5694.45	5694.00	5583.67	5582.00	1326.02	1.32E+03	181099.48	1.82E+05
27	5683.65	5682.00	5683.65	5683.00	5553.98	5552.00	1174.72	1.17E+03	182924.2	1.83E+05
28	5656.14	5655.00	5673.69	5673.00	5526.55	5525.00	1034.98	1.03E+03	184609.19	1.85E+05
29	5630.74	5629.00	5664.49	5664.00	5501.22	5500.00	905.92	9.01E+02	186165.11	1.87E+05
30	5607.29	5606.00	5655.99	5656.00	5477.83	5476.00	786.73	7.82E+02	187601.84	1.88E+05
31	5585.62	5584.00	5648.15	5648.00	5456.22	5455.00	676.63	6.72E+02	188928.48	1.89E+05
32	5565.62	5564.00	5640.91	5641.00	5436.28	5435.00	574.95	5.71E+02	190153.44	1.91E+05
33	5547.15	5546.00	5634.22	5634.00	5417.86	5417.00	481.04	4.77E+02	191284.47	1.92E+05
34	5530.1	5529.00	5628.05	5628.00	5400.85	5400.00	394.29	3.91E+02	192328.77	1.93E+05
35	5514.36	5513.00	5622.34	5622.00	5385.15	5384.00	314.18	3.11E+02	193292.95	1.94E+05
36	5499.82	5499.00	5617.08	5617.00	5370.65	5370.00	240.21	2.37E+02	194183.16	1.95E+05
37	5486.41	5485.00	5612.22	5612.00	5357.27	5356.00	171.88	1.69E+02	195005.03	1.96E+05
38	5474.02	5473.00	5607.73	5608.00	5344.88	5344.00	108.79	1.06E+02	195763.83	1.96E+05
39	5462.58	5462.00	5603.59	5603.00	5333.45	5333.00	50.53	4.76E+01	196464.36	1.97E+05
