Time	P(4,4)	P'(4,4)	P(3,9)	P'(3,9) 	Pwf(4,4)	Pwf'(4,4)	Pwf(3,9)	Pwf'(3,9)	Qw(4,4)	Qw'(4,4)	Qw(3,9)	Qw'(3,9)	Np	Np'
1.00	7589.05	7590.00	7556.46	7557.00	6000.00	6000.00	6339.59	6341.00	1952075.74	1954000.00	534300.00	-534300.00	2486375.74	2488000.00
2.00	7487.94	7488.00	7430.02	7431.00	6000.00	6000.00	6217.73	6219.00	1833062.19	1834000.00	534300.00	-534300.00	4853737.93	4856000.00
3.00	7419.73	7421.00	7342.54	7344.00	6000.00	6000.00	6133.56	6135.00	1752808.55	1755000.00	534300.00	-534300.00	7140846.48	7145000.00
4.00	7370.64	7372.00	7278.86	7280.00	6000.00	6000.00	6072.24	6074.00	1694794.26	1697000.00	534300.00	-534300.00	9369940.74	9376000.00
5.00	7333.22	7334.00	7230.36	7231.00	6000.00	6000.00	6025.52	6027.00	1650442.01	1652000.00	534300.00	-534300.00	11554684.53	11560000.00
10.00	7231.58	7221.00	7104.27	7092.00	6000.00	6000.00	5903.95	5892.00	1529371.42	1518000.00	534300.00	-534300.00	21873039.83	22050000.00
15.00	7162.02	7153.00	7020.77	7011.00	6000.00	6000.00	5823.35	5814.00	1445997.46	1436000.00	534300.00	-534300.00	31774520.01	32060000.00
20.00	7107.21	7100.00	6955.01	6949.00	6000.00	6000.00	5760.08	5755.00	1380029.22	1372000.00	534300.00	-534300.00	41346167.90	41710000.00
25.00	7060.57	7055.00	6897.75	6894.00	6000.00	6000.00	5705.05	5702.00	1323696.19	1317000.00	534300.00	-534300.00	50636155.99	51080000.00
30.00	7019.11	7014.00	6845.11	6843.00	6000.00	6000.00	5654.42	5652.00	1273470.21	1267000.00	534300.00	-534300.00	59674998.14	60180000.00
35.00	6981.26	6977.00	6795.26	6793.00	6000.00	6000.00	5606.46	5605.00	1227604.12	1223000.00	534300.00	-534300.00	68484515.16	69050000.00
40.00	6946.13	6942.00	6747.30	6746.00	6000.00	6000.00	5560.29	5559.00	1185025.75	1181000.00	534300.00	-534300.00	77081145.70	77710000.00
45.00	6913.19	6910.00	6700.79	6701.00	6000.00	6000.00	5515.48	5516.00	1144999.56	1141000.00	534300.00	-534300.00	85477641.70	86170000.00
50.00	6882.09	6879.00	6655.42	6656.00	6000.00	6000.00	5471.75	5472.00	1107115.91	1103000.00	534300.00	-534300.00	93684717.67	94430000.00
55.00	6852.57	6849.00	6611.02	6611.00	6000.00	6000.00	5428.92	5430.00	1071084.50	1067000.00	534300.00	-534300.00	101711641.93	102500000.00
60.00	6824.45	6821.00	6567.47	6567.00	6000.00	6000.00	5386.90	5387.00	1036680.92	1033000.00	534300.00	-534300.00	109566541.18	110400000.00
65.00	6797.57	6794.00	6524.72	6525.00	6000.00	6000.00	5345.62	5346.00	1003735.98	999900.00	534300.00	-534300.00	117256721.08	118100000.00
70.00	6771.82	6768.00	6482.71	6483.00	6000.00	6000.00	5305.13	5306.00	972119.67	968300.00	534300.00	-534300.00	124788814.07	125700000.00
75.00	6747.11	6744.00	6441.43	6442.00	6000.00	6000.00	5265.45	5267.00	941719.78	938100.00	534300.00	-534300.00	132168911.19	133100000.00
80.00	6723.35	6720.00	6400.82	6401.00	6000.00	6000.00	5226.39	5227.00	912449.04	909100.00	534300.00	-534300.00	139402654.63	140400000.00
85.00	6700.48	6697.00	6360.95	6361.00	6000.00	6000.00	5188.02	5189.00	884225.54	880800.00	534300.00	-534300.00	146495275.19	147600000.00
90.00	6678.44	6675.00	6321.73	6321.00	6000.00	6000.00	5150.25	5150.00	856979.80	853500.00	534300.00	-534300.00	153451683.09	154500000.00
95.00	6657.17	6654.00	6283.16	6282.00	6000.00	6000.00	5113.09	5113.00	830649.50	827000.00	534300.00	-534300.00	160276419.88	161400000.00
100.00	6636.63	6633.00	6245.25	6244.00	6000.00	6000.00	5076.53	5076.00	805181.20	801300.00	534300.00	-534300.00	166973825.85	168100000.00
