   =========================================================================  

                    SINGLE PHASE - SLIGHTLY-COMPRESSIBLE-FLOW                 
       CARTESIAN (variable depth/variable thickness) - FINITE DIFFERENCE      
                              BLOCK CENTERED GRID                             
                              SIMULATOR Ver. 0.0.3                            

                              capico@lenep.uenf.br                            
                           bismarckjunior@outlook.com                         

   =========================================================================  

     Project Name: dirichlet2.ini 

  nrow:                [50]
  ncol:                [50]
  initialTime:         [0]
  maxSteps:            [30]
  dt:                  [0.1]
  cf:                  [9e-006]
  cphi:                [3e-006]
  geometry:            [full]
  modGeom:             [**UNDEF**]
  modTransmissibility: [**UNDEF**]
  porosity:            [0.3]
  kx:                  [100]
  ky:                  [100]
  thickness:           [10]
  zTop:                [5.0]
  dx:                  [50]
  dy:                  [50]
  rhoSC:               [52.4]
  fproprows:           [15]
  dpprops:             [250]
  props file:          [fluidprop_.dat]
  p0:                  [14.7]
  z0:                  [10]
  wells file:          [**UNDEF**]
  output file:         [dirichletOut.dat]
  boundary file:       [dirichletBc.dat]

  ----------------------------------------------------------------------------

---------------------------------------------------------------------------------------------------------------------------------------------
  Time[Day]    P [psi]      P [psi]      P [psi]      P [psi]      P [psi]      P [psi]      P [psi]      P [psi]      P [psi]      P [psi]    
              (025,012)    (005,005)    (010,010)    (015,015)    (020,020)    (025,025)    (030,030)    (007,007)    (040,040)    (045,045)   
---------------------------------------------------------------------------------------------------------------------------------------------
 0.000E+000   7.999E+003   6.824E+003   7.390E+003   7.654E+003   7.272E+003   6.406E+003   5.600E+003   7.051E+003   5.716E+003   6.276E+003 
 1.000E-001   7.748E+003   6.768E+003   7.239E+003   7.459E+003   7.139E+003   6.419E+003   5.754E+003   6.957E+003   5.850E+003   6.314E+003 
 2.000E-001   7.537E+003   6.722E+003   7.114E+003   7.296E+003   7.030E+003   6.432E+003   5.881E+003   6.879E+003   5.962E+003   6.346E+003 
 3.000E-001   7.361E+003   6.684E+003   7.009E+003   7.161E+003   6.939E+003   6.443E+003   5.987E+003   6.814E+003   6.054E+003   6.372E+003 
 4.000E-001   7.215E+003   6.653E+003   6.923E+003   7.048E+003   6.865E+003   6.453E+003   6.075E+003   6.761E+003   6.130E+003   6.394E+003 
 5.000E-001   7.093E+003   6.627E+003   6.851E+003   6.955E+003   6.803E+003   6.462E+003   6.148E+003   6.716E+003   6.194E+003   6.412E+003 
 6.000E-001   6.992E+003   6.605E+003   6.791E+003   6.877E+003   6.751E+003   6.468E+003   6.208E+003   6.680E+003   6.246E+003   6.427E+003 
 7.000E-001   6.908E+003   6.587E+003   6.741E+003   6.813E+003   6.709E+003   6.474E+003   6.258E+003   6.649E+003   6.289E+003   6.440E+003 
 8.000E-001   6.838E+003   6.573E+003   6.700E+003   6.759E+003   6.673E+003   6.479E+003   6.300E+003   6.624E+003   6.325E+003   6.450E+003 
 9.000E-001   6.780E+003   6.560E+003   6.666E+003   6.715E+003   6.644E+003   6.483E+003   6.334E+003   6.603E+003   6.355E+003   6.459E+003 
 1.000E+000   6.732E+003   6.550E+003   6.638E+003   6.679E+003   6.619E+003   6.486E+003   6.363E+003   6.585E+003   6.380E+003   6.466E+003 
 1.100E+000   6.693E+003   6.541E+003   6.614E+003   6.648E+003   6.599E+003   6.489E+003   6.386E+003   6.571E+003   6.401E+003   6.472E+003 
 1.200E+000   6.660E+003   6.534E+003   6.595E+003   6.623E+003   6.582E+003   6.491E+003   6.406E+003   6.559E+003   6.418E+003   6.476E+003 
 1.300E+000   6.633E+003   6.529E+003   6.579E+003   6.602E+003   6.568E+003   6.492E+003   6.422E+003   6.549E+003   6.432E+003   6.480E+003 
 1.400E+000   6.610E+003   6.524E+003   6.565E+003   6.585E+003   6.557E+003   6.494E+003   6.435E+003   6.540E+003   6.443E+003   6.484E+003 
 1.500E+000   6.591E+003   6.520E+003   6.554E+003   6.570E+003   6.547E+003   6.495E+003   6.447E+003   6.533E+003   6.453E+003   6.487E+003 
 1.600E+000   6.576E+003   6.516E+003   6.545E+003   6.558E+003   6.539E+003   6.496E+003   6.456E+003   6.528E+003   6.461E+003   6.489E+003 
 1.700E+000   6.563E+003   6.514E+003   6.537E+003   6.548E+003   6.533E+003   6.497E+003   6.463E+003   6.523E+003   6.468E+003   6.491E+003 
 1.800E+000   6.552E+003   6.511E+003   6.531E+003   6.540E+003   6.527E+003   6.497E+003   6.470E+003   6.519E+003   6.473E+003   6.492E+003 
 1.900E+000   6.543E+003   6.509E+003   6.526E+003   6.533E+003   6.523E+003   6.498E+003   6.475E+003   6.516E+003   6.478E+003   6.494E+003 
 2.000E+000   6.536E+003   6.508E+003   6.521E+003   6.528E+003   6.519E+003   6.498E+003   6.479E+003   6.513E+003   6.482E+003   6.495E+003 
 2.100E+000   6.530E+003   6.506E+003   6.518E+003   6.523E+003   6.516E+003   6.499E+003   6.483E+003   6.511E+003   6.485E+003   6.496E+003 
 2.200E+000   6.525E+003   6.505E+003   6.515E+003   6.519E+003   6.513E+003   6.499E+003   6.486E+003   6.509E+003   6.487E+003   6.496E+003 
 2.300E+000   6.521E+003   6.504E+003   6.512E+003   6.516E+003   6.511E+003   6.499E+003   6.488E+003   6.508E+003   6.490E+003   6.497E+003 
 2.400E+000   6.517E+003   6.504E+003   6.510E+003   6.513E+003   6.509E+003   6.499E+003   6.490E+003   6.506E+003   6.491E+003   6.498E+003 
 2.500E+000   6.514E+003   6.503E+003   6.508E+003   6.511E+003   6.508E+003   6.500E+003   6.492E+003   6.505E+003   6.493E+003   6.498E+003 
 2.600E+000   6.512E+003   6.503E+003   6.507E+003   6.509E+003   6.506E+003   6.500E+003   6.493E+003   6.504E+003   6.494E+003   6.498E+003 
 2.700E+000   6.510E+003   6.502E+003   6.506E+003   6.508E+003   6.505E+003   6.500E+003   6.495E+003   6.504E+003   6.495E+003   6.499E+003 
 2.800E+000   6.508E+003   6.502E+003   6.505E+003   6.506E+003   6.504E+003   6.500E+003   6.496E+003   6.503E+003   6.496E+003   6.499E+003 
 2.900E+000   6.507E+003   6.501E+003   6.504E+003   6.505E+003   6.504E+003   6.500E+003   6.496E+003   6.502E+003   6.497E+003   6.499E+003 
 3.000E+000   6.506E+003   6.501E+003   6.503E+003   6.504E+003   6.503E+003   6.500E+003   6.497E+003   6.502E+003   6.497E+003   6.499E+003 
