   =========================================================================  

                    SINGLE PHASE - SLIGHTLY-COMPRESSIBLE-FLOW                 
       CARTESIAN (variable depth/variable thickness) - FINITE DIFFERENCE      
                              BLOCK CENTERED GRID                             
                              SIMULATOR Ver. 0.0.3                            

                              capico@lenep.uenf.br                            
                           bismarckjunior@outlook.com                         

   =========================================================================  

     Project Name: question.ini 

  nrow:                [142]
  ncol:                [101]
  initialTime:         [0.001]
  maxSteps:            [170]
  dt:                  [0.05]
  cf:                  [9e-006]
  cphi:                [3e-006]
  geometry:            [geom.dat]
  modGeom:             [**UNDEF**]
  modTransmissibility: [**UNDEF**]
  porosity:            [0.3]
  kx:                  [5]
  ky:                  [5]
  thickness:           [10]
  zTop:                [5.0]
  dx:                  [50]
  dy:                  [50]
  rhoSC:               [52.4]
  fproprows:           [21]
  dpprops:             [250]
  props file:          [fluidprop.dat]
  p0:                  [7500]
  z0:                  [10]
  wells file:          [questionWell.dat]
  output file:         [questionOut.dat]
  boundary file:       [questionBC.dat]

  ----------------------------------------------------------------------------

--------------------------------------------------
  Time[Day]    P [psi]     Pwf [psi]    Qw[bbl/d]   
              (052,011)    (052,011)    (052,011)   
--------------------------------------------------
 1.000E-003   7.500E+003   7.404E+003  -1.000E+001 
 1.413E-003   7.500E+003   7.404E+003  -1.000E+001 
 1.995E-003   7.499E+003   7.404E+003  -1.000E+001 
 2.818E-003   7.499E+003   7.403E+003  -1.000E+001 
 3.981E-003   7.498E+003   7.402E+003  -1.000E+001 
 5.623E-003   7.496E+003   7.401E+003  -1.000E+001 
 7.943E-003   7.495E+003   7.399E+003  -1.000E+001 
 1.122E-002   7.492E+003   7.397E+003  -1.000E+001 
 1.585E-002   7.489E+003   7.394E+003  -1.000E+001 
 2.239E-002   7.486E+003   7.390E+003  -1.000E+001 
 3.162E-002   7.481E+003   7.386E+003  -1.000E+001 
 4.467E-002   7.476E+003   7.380E+003  -1.000E+001 
 6.310E-002   7.470E+003   7.374E+003  -1.000E+001 
 8.913E-002   7.464E+003   7.368E+003  -1.000E+001 
 1.259E-001   7.457E+003   7.362E+003  -1.000E+001 
 1.778E-001   7.452E+003   7.356E+003  -1.000E+001 
 2.512E-001   7.446E+003   7.351E+003  -1.000E+001 
 3.548E-001   7.441E+003   7.346E+003  -1.000E+001 
 5.012E-001   7.437E+003   7.341E+003  -1.000E+001 
 7.079E-001   7.432E+003   7.336E+003  -1.000E+001 
 1.000E+000   7.427E+003   7.332E+003  -1.000E+001 
 1.413E+000   7.423E+003   7.327E+003  -1.000E+001 
 1.995E+000   7.418E+003   7.323E+003  -1.000E+001 
 2.818E+000   7.413E+003   7.318E+003  -1.000E+001 
 3.981E+000   7.409E+003   7.314E+003  -1.000E+001 
 5.623E+000   7.404E+003   7.309E+003  -1.000E+001 
 7.943E+000   7.399E+003   7.304E+003  -1.000E+001 
 1.122E+001   7.394E+003   7.298E+003  -1.000E+001 
 1.585E+001   7.387E+003   7.292E+003  -1.000E+001 
 2.239E+001   7.379E+003   7.284E+003  -1.000E+001 
 3.162E+001   7.370E+003   7.275E+003  -1.000E+001 
 4.467E+001   7.360E+003   7.265E+003  -1.000E+001 
 6.310E+001   7.347E+003   7.252E+003  -1.000E+001 
 8.913E+001   7.333E+003   7.238E+003  -1.000E+001 
 1.259E+002   7.316E+003   7.221E+003  -1.000E+001 
 1.778E+002   7.296E+003   7.201E+003  -1.000E+001 
 2.512E+002   7.271E+003   7.176E+003  -1.000E+001 
 3.548E+002   7.240E+003   7.145E+003  -1.000E+001 
 5.012E+002   7.200E+003   7.105E+003  -1.000E+001 
 7.079E+002   7.148E+003   7.053E+003  -1.000E+001 
 1.000E+003   7.080E+003   6.985E+003  -1.000E+001 
 1.413E+003   6.991E+003   6.897E+003  -1.000E+001 
 1.995E+003   6.876E+003   6.782E+003  -1.000E+001 
 2.818E+003   6.725E+003   6.632E+003  -1.000E+001 
 3.981E+003   6.532E+003   6.439E+003  -1.000E+001 
 5.623E+003   6.290E+003   6.197E+003  -1.000E+001 
 7.943E+003   6.001E+003   5.909E+003  -1.000E+001 
 1.122E+004   5.678E+003   5.586E+003  -1.000E+001 
 1.585E+004   5.347E+003   5.256E+003  -1.000E+001 
 2.239E+004   5.049E+003   4.957E+003  -1.000E+001 
 3.162E+004   4.820E+003   4.729E+003  -1.000E+001 
 4.467E+004   4.680E+003   4.588E+003  -1.000E+001 
 6.310E+004   4.614E+003   4.523E+003  -1.000E+001 
 8.913E+004   4.593E+003   4.501E+003  -1.000E+001 
 1.259E+005   4.588E+003   4.497E+003  -1.000E+001 
 1.778E+005   4.588E+003   4.496E+003  -1.000E+001 
 2.512E+005   4.588E+003   4.496E+003  -1.000E+001 
